Token	Count	Frequency
00	843	9.469920365046895E-4
01	272	3.055537769030552E-4
02	52	5.841469264323114E-5
03	79	8.8745398438755E-5
04	65	7.301836580403893E-5
05	79	8.8745398438755E-5
06	97	1.0896586896910424E-4
07	69	7.751180369967209E-5
08	65	7.301836580403893E-5
09	58	6.515484948668089E-5
0a	1	1.1233594739082912E-6
0b	0	0.0
0c	0	0.0
0d	0	0.0
0e	0	0.0
0f	0	0.0
0g	0	0.0
0h	0	0.0
0i	0	0.0
0j	0	0.0
0k	0	0.0
0l	0	0.0
0m	7	7.863516317358038E-6
0n	0	0.0
0o	0	0.0
0p	2	2.2467189478165824E-6
0q	0	0.0
0r	0	0.0
0s	156	1.7524407792969342E-4
0t	48	5.392125474759798E-5
0u	0	0.0
0v	0	0.0
0w	0	0.0
0x	2	2.2467189478165824E-6
0y	0	0.0
0z	0	0.0
10	262	2.9432018216397226E-4
11	135	1.516535289776193E-4
12	180	2.022047053034924E-4
13	131	1.4716009108198613E-4
14	145	1.628871237167022E-4
15	151	1.6962728056015195E-4
16	184	2.0669814319912558E-4
17	170	1.909711105644095E-4
18	412	4.6282410325021597E-4
19	1280	0.0014379001266026127
1a	3	3.3700784217248735E-6
1b	0	0.0
1c	0	0.0
1d	0	0.0
1e	0	0.0
1f	0	0.0
1g	1	1.1233594739082912E-6
1h	0	0.0
1i	0	0.0
1j	0	0.0
1k	0	0.0
1l	0	0.0
1m	2	2.2467189478165824E-6
1n	0	0.0
1o	0	0.0
1p	0	0.0
1q	0	0.0
1r	0	0.0
1s	11	1.2356954212991203E-5
1t	4	4.493437895633165E-6
1u	0	0.0
1v	0	0.0
1w	0	0.0
1x	0	0.0
1y	0	0.0
1z	0	0.0
20	850	9.548555528220475E-4
21	89	9.997899317783792E-5
22	79	8.8745398438755E-5
23	71	7.975852264748867E-5
24	66	7.414172527794722E-5
25	94	1.0559579054737937E-4
26	71	7.975852264748867E-5
27	88	9.885563370392962E-5
28	64	7.189500633013064E-5
29	41	4.605773843023994E-5
2a	0	0.0
2b	0	0.0
2c	0	0.0
2d	0	0.0
2e	0	0.0
