Token	Count	Frequency
000	205	3.1009768833518384E-4
001	51	7.714625417119208E-5
002	26	3.93294629108038E-5
003	49	7.412091087036102E-5
004	37	5.5968851065374645E-5
005	51	7.714625417119208E-5
006	64	9.681098562659398E-5
007	45	6.807022426869888E-5
008	49	7.412091087036102E-5
009	32	4.840549281329699E-5
00a	0	0.0
00b	0	0.0
00c	0	0.0
00d	0	0.0
00e	0	0.0
00f	0	0.0
00g	0	0.0
00h	0	0.0
00i	0	0.0
00j	0	0.0
00k	0	0.0
00l	0	0.0
00m	2	3.0253433008310617E-6
00n	0	0.0
00o	0	0.0
00p	0	0.0
00q	0	0.0
00r	0	0.0
00s	20	3.0253433008310617E-5
00t	2	3.0253433008310617E-6
00u	0	0.0
00v	0	0.0
00w	0	0.0
00x	0	0.0
00y	0	0.0
00z	0	0.0
010	47	7.109556756952996E-5
011	36	5.4456179414959115E-5
012	38	5.7481522715790175E-5
013	23	3.479144795955721E-5
014	21	3.176610465872615E-5
015	13	1.96647314554019E-5
016	11	1.663938815457084E-5
017	1	1.5126716504155309E-6
018	1	1.5126716504155309E-6
019	1	1.5126716504155309E-6
01a	0	0.0
01b	0	0.0
01c	0	0.0
01d	0	0.0
01e	0	0.0
01f	0	0.0
01g	0	0.0
01h	0	0.0
01i	0	0.0
01j	0	0.0
01k	0	0.0
01l	0	0.0
01m	0	0.0
01n	0	0.0
01o	0	0.0
01p	0	0.0
01q	0	0.0
01r	0	0.0
01s	2	3.0253433008310617E-6
01t	0	0.0
01u	0	0.0
01v	0	0.0
01w	0	0.0
01x	0	0.0
01y	0	0.0
01z	0	0.0
020	2	3.0253433008310617E-6
021	0	0.0
022	1	1.5126716504155309E-6
023	0	0.0
024	2	3.0253433008310617E-6
025	0	0.0
026	1	1.5126716504155309E-6
027	0	0.0
028	1	1.5126716504155309E-6
029	0	0.0
02a	0	0.0
02b	0	0.0
02c	0	0.0
02d	0	0.0
02e	0	0.0
02f	0	0.0
02g	0	0.0
02h	0	0.0
02i	0	0.0
02j	0	0.0
02k	0	0.0
02l	0	0.0
02m	0	0.0
02n	0	0.0
02o	0	0.0
02p	0	0.0
02q	0	0.0
02r	0	0.0
02s	0	0.0
02t	0	0.0
02u	0	0.0
02v	0	0.0
02w	0	0.0
02x	0	0.0
02y	0	0.0
02z	0	0.0
030	2	3.0253433008310617E-6
031	0	0.0
032	2	3.0253433008310617E-6
033	2	3.0253433008310617E-6
034	0	0.0
035	0	0.0
036	0	0.0
037	1	1.5126716504155309E-6
038	1	1.5126716504155309E-6
039	0	0.0
03a	0	0.0
03b	0	0.0
03c	0	0.0
03d	0	0.0
03e	0	0.0
03f	0	0.0
03g	0	0.0
03h	0	0.0
03i	0	0.0
03j	0	0.0
03k	0	0.0
03l	0	0.0
03m	0	0.0
03n	0	0.0
03o	0	0.0
03p	0	0.0
03q	0	0.0
03r	0	0.0
03s	0	0.0
03t	0	0.0
03u	0	0.0
03v	0	0.0
03w	0	0.0
03x	0	0.0
03y	0	0.0
03z	0	0.0
040	3	4.538014951246593E-6
041	2	3.0253433008310617E-6
042	0	0.0
043	2	3.0253433008310617E-6
044	1	1.5126716504155309E-6
045	1	1.5126716504155309E-6
046	0	0.0
047	0	0.0
048	1	1.5126716504155309E-6
049	0	0.0
04a	0	0.0
04b	0	0.0
04c	0	0.0
04d	0	0.0
04e	0	0.0
04f	0	0.0
04g	0	0.0
04h	0	0.0
04i	0	0.0
04j	0	0.0
04k	0	0.0
04l	0	0.0
04m	0	0.0
04n	0	0.0
04o	0	0.0
04p	0	0.0
04q	0	0.0
04r	0	0.0
04s	0	0.0
04t	0	0.0
04u	0	0.0
04v	0	0.0
04w	0	0.0
04x	0	0.0
04y	0	0.0
04z	0	0.0
050	2	3.0253433008310617E-6
051	0	0.0
052	0	0.0
053	0	0.0
054	1	1.5126716504155309E-6
055	0	0.0
056	1	1.5126716504155309E-6
057	0	0.0
058	0	0.0
059	1	1.5126716504155309E-6
05a	0	0.0
05b	0	0.0
05c	0	0.0
05d	0	0.0
05e	0	0.0
05f	0	0.0
05g	0	0.0
05h	0	0.0
05i	0	0.0
05j	0	0.0
05k	0	0.0
05l	0	0.0
05m	0	0.0
05n	0	0.0
05o	0	0.0
05p	0	0.0
05q	0	0.0
05r	0	0.0
05s	0	0.0
05t	0	0.0
05u	0	0.0
05v	0	0.0
05w	0	0.0
05x	0	0.0
05y	0	0.0
05z	0	0.0
060	0	0.0
061	0	0.0
062	0	0.0
063	0	0.0
064	1	1.5126716504155309E-6
065	1	1.5126716504155309E-6
066	2	3.0253433008310617E-6
067	0	0.0
068	0	0.0
069	1	1.5126716504155309E-6
06a	0	0.0
06b	0	0.0
06c	0	0.0
06d	0	0.0
06e	0	0.0
06f	0	0.0
06g	0	0.0
06h	0	0.0
06i	0	0.0
06j	0	0.0
06k	0	0.0
06l	0	0.0
06m	0	0.0
06n	0	0.0
06o	0	0.0
06p	0	0.0
06q	0	0.0
06r	0	0.0
06s	0	0.0
06t	1	1.5126716504155309E-6
06u	0	0.0
06v	0	0.0
06w	0	0.0
06x	0	0.0
06y	0	0.0
06z	0	0.0
070	3	4.538014951246593E-6
071	0	0.0
072	0	0.0
073	1	1.5126716504155309E-6
074	0	0.0
075	0	0.0
076	0	0.0
077	0	0.0
078	0	0.0
079	0	0.0
07a	0	0.0
07b	0	0.0
07c	0	0.0
07d	0	0.0
07e	0	0.0
07f	0	0.0
07g	0	0.0
07h	0	0.0
07i	0	0.0
07j	0	0.0
07k	0	0.0
07l	0	0.0
07m	0	0.0
07n	0	0.0
07o	0	0.0
07p	0	0.0
07q	0	0.0
07r	0	0.0
07s	0	0.0
07t	0	0.0
07u	0	0.0
07v	0	0.0
07w	0	0.0
07x	0	0.0
07y	0	0.0
07z	0	0.0
080	4	6.0506866016621235E-6
081	0	0.0
082	1	1.5126716504155309E-6
083	0	0.0
084	0	0.0
085	2	3.0253433008310617E-6
086	1	1.5126716504155309E-6
087	0	0.0
088	0	0.0
089	1	1.5126716504155309E-6
08a	0	0.0
08b	0	0.0
08c	0	0.0
08d	0	0.0
08e	0	0.0
08f	0	0.0
08g	0	0.0
08h	0	0.0
08i	0	0.0
08j	0	0.0
08k	0	0.0
08l	0	0.0
08m	0	0.0
08n	0	0.0
08o	0	0.0
08p	0	0.0
08q	0	0.0
08r	0	0.0
08s	0	0.0
08t	0	0.0
08u	0	0.0
08v	0	0.0
08w	0	0.0
08x	0	0.0
08y	0	0.0
08z	0	0.0
090	0	0.0
091	0	0.0
092	0	0.0
093	2	3.0253433008310617E-6
094	1	1.5126716504155309E-6
095	1	1.5126716504155309E-6
096	0	0.0
097	0	0.0
098	0	0.0
099	0	0.0
09a	0	0.0
09b	0	0.0
09c	0	0.0
09d	0	0.0
09e	0	0.0
09f	0	0.0
09g	0	0.0
09h	0	0.0
09i	0	0.0
09j	0	0.0
09k	0	0.0
09l	0	0.0
09m	0	0.0
09n	0	0.0
09o	0	0.0
09p	0	0.0
09q	0	0.0
09r	0	0.0
09s	0	0.0
09t	0	0.0
09u	0	0.0
09v	0	0.0
09w	0	0.0
09x	0	0.0
09y	0	0.0
09z	0	0.0
0a0	0	0.0
0a1	0	0.0
0a2	0	0.0
0a3	0	0.0
0a4	0	0.0
0a5	0	0.0
0a6	0	0.0
0a7	0	0.0
0a8	0	0.0
0a9	0	0.0
0aa	0	0.0
0ab	0	0.0
0ac	0	0.0
0ad	0	0.0
0ae	0	0.0
0af	0	0.0
0ag	0	0.0
0ah	0	0.0
0ai	0	0.0
0aj	0	0.0
0ak	0	0.0
0al	0	0.0
0am	1	1.5126716504155309E-6
0an	0	0.0
0ao	0	0.0
0ap	0	0.0
0aq	0	0.0
0ar	0	0.0
0as	0	0.0
0at	0	0.0
0au	0	0.0
0av	0	0.0
0aw	0	0.0
0ax	0	0.0
0ay	0	0.0
0az	0	0.0
0b0	0	0.0
0b1	0	0.0
0b2	0	0.0
0b3	0	0.0
0b4	0	0.0
0b5	0	0.0
0b6	0	0.0
0b7	0	0.0
0b8	0	0.0
0b9	0	0.0
0ba	0	0.0
0bb	0	0.0
0bc	0	0.0
0bd	0	0.0
0be	0	0.0
0bf	0	0.0
0bg	0	0.0
0bh	0	0.0
0bi	0	0.0
0bj	0	0.0
0bk	0	0.0
0bl	0	0.0
0bm	0	0.0
0bn	0	0.0
0bo	0	0.0
0bp	0	0.0
0bq	0	0.0
0br	0	0.0
0bs	0	0.0
0bt	0	0.0
0bu	0	0.0
0bv	0	0.0
0bw	0	0.0
0bx	0	0.0
0by	0	0.0
0bz	0	0.0
0c0	0	0.0
0c1	0	0.0
0c2	0	0.0
0c3	0	0.0
0c4	0	0.0
0c5	0	0.0
0c6	0	0.0
0c7	0	0.0
0c8	0	0.0
0c9	0	0.0
0ca	0	0.0
0cb	0	0.0
0cc	0	0.0
0cd	0	0.0
0ce	0	0.0
0cf	0	0.0
0cg	0	0.0
0ch	0	0.0
0ci	0	0.0
0cj	0	0.0
0ck	0	0.0
0cl	0	0.0
0cm	0	0.0
0cn	0	0.0
0co	0	0.0
0cp	0	0.0
0cq	0	0.0
0cr	0	0.0
0cs	0	0.0
0ct	0	0.0
0cu	0	0.0
0cv	0	0.0
0cw	0	0.0
0cx	0	0.0
0cy	0	0.0
0cz	0	0.0
0d0	0	0.0
0d1	0	0.0
0d2	0	0.0
0d3	0	0.0
0d4	0	0.0
0d5	0	0.0
0d6	0	0.0
0d7	0	0.0
0d8	0	0.0
0d9	0	0.0
0da	0	0.0
0db	0	0.0
0dc	0	0.0
0dd	0	0.0
0de	0	0.0
0df	0	0.0
0dg	0	0.0
0dh	0	0.0
0di	0	0.0
0dj	0	0.0
0dk	0	0.0
0dl	0	0.0
0dm	0	0.0
0dn	0	0.0
0do	0	0.0
0dp	0	0.0
0dq	0	0.0
0dr	0	0.0
0ds	0	0.0
0dt	0	0.0
0du	0	0.0
0dv	0	0.0
0dw	0	0.0
0dx	0	0.0
0dy	0	0.0
0dz	0	0.0
0e0	0	0.0
0e1	0	0.0
0e2	0	0.0
0e3	0	0.0
0e4	0	0.0
