CMDLINE python3 Phase3-EdgeTestOnly.py
MEM 1.394531 1595425785.5564
MEM 14.925781 1595425785.6568
MEM 20.980469 1595425785.7578
MEM 34.886719 1595425785.8581
MEM 46.238281 1595425785.9585
MEM 55.703125 1595425786.0591
MEM 58.914062 1595425786.1603
MEM 59.839844 1595425786.2610
MEM 64.457031 1595425786.3614
MEM 74.792969 1595425786.4619
MEM 85.425781 1595425786.5623
MEM 90.503906 1595425786.6628
MEM 91.531250 1595425786.7634
MEM 99.492188 1595425786.8641
MEM 137.457031 1595425786.9645
MEM 183.140625 1595425787.0648
MEM 226.894531 1595425787.1654
MEM 271.871094 1595425787.2661
MEM 318.261719 1595425787.3666
MEM 362.984375 1595425787.4672
MEM 412.273438 1595425787.5679
MEM 457.957031 1595425787.6684
MEM 504.605469 1595425787.7689
MEM 508.500000 1595425787.8692
MEM 508.500000 1595425787.9698
MEM 508.500000 1595425788.0704
MEM 508.500000 1595425788.1711
MEM 369.675781 1595425788.2716
