CMDLINE python3 Phase3-EdgeTestOnly.py
MEM 1.335938 1595427225.9534
MEM 14.710938 1595427226.0543
MEM 20.292969 1595427226.1554
MEM 31.902344 1595427226.2560
MEM 40.953125 1595427226.3563
MEM 51.792969 1595427226.4567
MEM 59.238281 1595427226.5574
MEM 59.914062 1595427226.6580
MEM 61.089844 1595427226.7585
MEM 69.976562 1595427226.8592
MEM 80.804688 1595427226.9599
MEM 88.746094 1595427227.0605
MEM 92.398438 1595427227.1611
MEM 94.566406 1595427227.2621
MEM 110.109375 1595427227.3628
MEM 154.890625 1595427227.4634
MEM 200.507812 1595427227.5640
MEM 245.351562 1595427227.6646
MEM 290.261719 1595427227.7653
MEM 339.363281 1595427227.8665
MEM 385.496094 1595427227.9672
MEM 430.152344 1595427228.0679
MEM 472.289062 1595427228.1685
MEM 509.765625 1595427228.2689
MEM 510.687500 1595427228.3693
MEM 510.687500 1595427228.4698
MEM 510.687500 1595427228.5704
MEM 510.687500 1595427228.6715
MEM 0.000000 1595427228.7722
