CMDLINE python3 Phase3-EdgeTestOnly.py
MEM 4.878906 1595424458.8439
MEM 15.128906 1595424458.9444
MEM 20.617188 1595424459.0450
MEM 32.507812 1595424459.1458
MEM 42.500000 1595424459.2463
MEM 51.902344 1595424459.3474
MEM 58.480469 1595424459.4481
MEM 59.472656 1595424459.5487
MEM 61.105469 1595424459.6493
MEM 70.062500 1595424459.7498
MEM 81.492188 1595424459.8515
MEM 87.906250 1595424459.9520
MEM 91.511719 1595424460.0527
MEM 94.664062 1595424460.1543
MEM 121.378906 1595424460.2549
MEM 167.062500 1595424460.3574
MEM 215.582031 1595424460.4581
MEM 256.433594 1595424460.5598
MEM 298.765625 1595424460.6603
MEM 339.417969 1595424460.7614
MEM 389.226562 1595424460.8625
MEM 432.847656 1595424460.9641
MEM 478.402344 1595424461.0648
MEM 516.957031 1595424461.1653
MEM 520.285156 1595424461.2659
MEM 520.273438 1595424461.3676
MEM 521.398438 1595424461.4705
MEM 0.000000 1595424461.5711
