CMDLINE python3 Phase2-EdgeRetrain.py
MEM 3.464844 1595425213.8865
MEM 15.078125 1595425213.9870
MEM 20.292969 1595425214.0878
MEM 33.406250 1595425214.1890
MEM 44.847656 1595425214.2896
MEM 53.714844 1595425214.3907
MEM 59.300781 1595425214.4916
MEM 60.234375 1595425214.5941
MEM 62.832031 1595425214.6945
MEM 72.187500 1595425214.7952
MEM 83.058594 1595425214.8958
MEM 89.003906 1595425214.9969
MEM 91.980469 1595425215.0980
MEM 95.863281 1595425215.1986
MEM 129.355469 1595425215.2993
MEM 173.496094 1595425215.3998
MEM 218.917969 1595425215.5009
MEM 264.859375 1595425215.6041
MEM 314.792969 1595425215.7045
MEM 358.863281 1595425215.8052
MEM 404.804688 1595425215.9063
MEM 453.132812 1595425216.0074
MEM 499.332031 1595425216.1102
MEM 524.656250 1595425216.2110
MEM 524.656250 1595425216.3117
MEM 525.429688 1595425216.4122
MEM 530.656250 1595425216.5129
MEM 530.656250 1595425216.6135
MEM 533.492188 1595425216.7140
MEM 535.039062 1595425216.8147
MEM 535.296875 1595425216.9154
MEM 536.843750 1595425217.0174
MEM 535.683594 1595425217.1188
MEM 542.371094 1595425217.2193
MEM 542.781250 1595425217.3288
MEM 542.761719 1595425217.4307
MEM 396.156250 1595425217.5333
