CMDLINE python3 Phase2-EdgeRetrain.py
MEM 3.562500 1595424863.4701
MEM 15.152344 1595424863.5707
MEM 19.671875 1595424863.6711
MEM 31.902344 1595424863.7732
MEM 41.914062 1595424863.8736
MEM 51.355469 1595424863.9743
MEM 58.929688 1595424864.0749
MEM 59.617188 1595424864.1767
MEM 61.480469 1595424864.2782
MEM 70.593750 1595424864.3797
MEM 81.730469 1595424864.4825
MEM 88.082031 1595424864.5830
MEM 91.375000 1595424864.6841
MEM 94.644531 1595424864.7852
MEM 145.312500 1595424864.8858
MEM 219.609375 1595424864.9873
MEM 299.507812 1595424865.0880
MEM 358.593750 1595424865.1887
MEM 420.707031 1595424865.2892
MEM 503.632812 1595424865.3899
MEM 524.566406 1595424865.4904
MEM 524.566406 1595424865.5908
MEM 525.914062 1595424865.6913
MEM 531.843750 1595424865.7917
MEM 531.843750 1595424865.8924
MEM 534.421875 1595424865.9929
MEM 537.257812 1595424866.0936
MEM 537.257812 1595424866.1947
MEM 539.578125 1595424866.2973
MEM 546.687500 1595424866.3979
MEM 545.144531 1595424866.4988
MEM 545.109375 1595424866.6000
MEM 545.109375 1595424866.7019
MEM 0.000000 1595424866.8025
