CMDLINE python3 Phase2-EdgeRetrain.py
MEM 3.511719 1595423994.4826
MEM 13.628906 1595423994.5830
MEM 18.781250 1595423994.6836
MEM 29.152344 1595423994.7853
MEM 35.007812 1595423994.8859
MEM 38.523438 1595423994.9874
MEM 44.156250 1595423995.0881
MEM 48.171875 1595423995.1897
MEM 52.132812 1595423995.2907
MEM 58.398438 1595423995.3930
MEM 59.414062 1595423995.4945
MEM 60.609375 1595423995.5969
MEM 65.218750 1595423995.6976
MEM 71.417969 1595423995.7983
MEM 79.039062 1595423995.8989
MEM 84.148438 1595423996.0003
MEM 88.617188 1595423996.1010
MEM 91.820312 1595423996.2027
MEM 93.398438 1595423996.3033
MEM 96.187500 1595423996.4047
MEM 117.812500 1595423996.5097
MEM 150.160156 1595423996.6193
MEM 191.652344 1595423996.7232
MEM 240.039062 1595423996.8239
MEM 284.500000 1595423996.9254
MEM 322.839844 1595423997.0283
MEM 368.589844 1595423997.1292
MEM 415.105469 1595423997.2303
MEM 462.402344 1595423997.3308
MEM 507.054688 1595423997.4315
MEM 524.679688 1595423997.5320
MEM 524.679688 1595423997.6324
MEM 525.511719 1595423997.7329
MEM 531.957031 1595423997.8333
MEM 531.957031 1595423997.9340
MEM 533.503906 1595423998.0346
MEM 537.886719 1595423998.1353
MEM 537.886719 1595423998.2363
MEM 539.175781 1595423998.3374
MEM 547.335938 1595423998.4381
MEM 547.722656 1595423998.5392
MEM 547.687500 1595423998.6408
MEM 509.742188 1595423998.7429
MEM 0.000000 1595423998.8433
