CMDLINE python3 Phase3-EdgeTestOnly.py
MEM 3.562500 1595424869.4802
MEM 15.156250 1595424869.5808
MEM 19.414062 1595424869.6812
MEM 30.859375 1595424869.7826
MEM 40.378906 1595424869.8831
MEM 50.707031 1595424869.9836
MEM 58.894531 1595424870.0847
MEM 59.632812 1595424870.1855
MEM 61.222656 1595424870.2860
MEM 69.320312 1595424870.3871
MEM 81.148438 1595424870.4878
MEM 87.882812 1595424870.5882
MEM 91.550781 1595424870.6890
MEM 93.812500 1595424870.7905
MEM 121.808594 1595424870.8918
MEM 191.460938 1595424870.9924
MEM 262.019531 1595424871.0934
MEM 322.332031 1595424871.1945
MEM 380.191406 1595424871.2951
MEM 445.394531 1595424871.3959
MEM 508.898438 1595424871.4968
MEM 523.257812 1595424871.5974
MEM 522.984375 1595424871.6987
MEM 0.000000 1595424871.7991
