CMDLINE python3 Phase2-EdgeRetrain.py
MEM 1.324219 1595425777.5232
MEM 13.937500 1595425777.6236
MEM 20.476562 1595425777.7242
MEM 32.035156 1595425777.8249
MEM 38.644531 1595425777.9254
MEM 50.324219 1595425778.0261
MEM 58.582031 1595425778.1270
MEM 59.562500 1595425778.2274
MEM 61.480469 1595425778.3279
MEM 70.742188 1595425778.4285
MEM 82.550781 1595425778.5292
MEM 88.656250 1595425778.6297
MEM 92.054688 1595425778.7303
MEM 96.042969 1595425778.8309
MEM 117.492188 1595425778.9313
MEM 162.410156 1595425779.0317
MEM 207.906250 1595425779.1324
MEM 251.914062 1595425779.2329
MEM 299.468750 1595425779.3335
MEM 342.765625 1595425779.4342
MEM 389.929688 1595425779.5348
MEM 437.226562 1595425779.6354
MEM 482.847656 1595425779.7360
MEM 509.093750 1595425779.8364
MEM 509.093750 1595425779.9368
MEM 509.093750 1595425780.0378
MEM 509.093750 1595425780.1381
MEM 509.093750 1595425780.2386
MEM 509.093750 1595425780.3392
MEM 509.093750 1595425780.4398
MEM 509.093750 1595425780.5404
MEM 509.093750 1595425780.6415
MEM 509.093750 1595425780.7421
MEM 509.093750 1595425780.8425
MEM 509.093750 1595425780.9428
MEM 509.093750 1595425781.0435
MEM 509.093750 1595425781.1441
MEM 509.093750 1595425781.2452
MEM 509.093750 1595425781.3458
MEM 509.093750 1595425781.4461
MEM 509.093750 1595425781.5466
MEM 509.093750 1595425781.6471
MEM 509.093750 1595425781.7477
MEM 509.093750 1595425781.8484
MEM 509.093750 1595425781.9490
MEM 509.093750 1595425782.0496
MEM 509.093750 1595425782.1502
MEM 509.093750 1595425782.2508
MEM 509.093750 1595425782.3514
MEM 509.093750 1595425782.4520
MEM 509.093750 1595425782.5526
MEM 509.093750 1595425782.6545
MEM 509.093750 1595425782.7549
MEM 509.093750 1595425782.8555
MEM 510.644531 1595425782.9563
MEM 370.812500 1595425783.0574
