CMDLINE python3 Phase3-EdgeTestOnly.py
MEM 3.550781 1595424667.2671
MEM 15.011719 1595424667.3676
MEM 19.007812 1595424667.4682
MEM 29.371094 1595424667.5695
MEM 37.140625 1595424667.6706
MEM 47.355469 1595424667.7710
MEM 55.917969 1595424667.8732
MEM 59.078125 1595424667.9738
MEM 60.011719 1595424668.0745
MEM 65.371094 1595424668.1765
MEM 75.609375 1595424668.2776
MEM 85.375000 1595424668.3783
MEM 90.675781 1595424668.4789
MEM 92.316406 1595424668.5819
MEM 98.492188 1595424668.6824
MEM 134.640625 1595424668.7851
MEM 176.972656 1595424668.8878
MEM 192.312500 1595424668.9892
MEM 216.347656 1595424669.0925
MEM 240.382812 1595424669.1963
MEM 264.160156 1595424669.3004
MEM 288.707031 1595424669.4049
MEM 311.968750 1595424669.5081
MEM 338.515625 1595424669.6150
MEM 362.292969 1595424669.7186
MEM 387.226562 1595424669.8269
MEM 413.257812 1595424669.9335
MEM 437.550781 1595424670.0390
MEM 462.808594 1595424670.1476
MEM 487.292969 1595424670.2501
MEM 512.554688 1595424670.3556
MEM 522.289062 1595424670.4562
MEM 523.054688 1595424670.5584
MEM 521.066406 1595424670.6594
MEM 464.406250 1595424670.7601
