CMDLINE python3 Phase3-EdgeTestOnly.py
MEM 3.453125 1595425220.1400
MEM 15.273438 1595425220.2405
MEM 20.605469 1595425220.3409
MEM 33.933594 1595425220.4427
MEM 44.808594 1595425220.5434
MEM 53.734375 1595425220.6439
MEM 59.023438 1595425220.7467
MEM 59.953125 1595425220.8492
MEM 62.738281 1595425220.9500
MEM 72.687500 1595425221.0514
MEM 83.914062 1595425221.1530
MEM 89.941406 1595425221.2545
MEM 91.839844 1595425221.3570
MEM 99.371094 1595425221.4577
MEM 137.597656 1595425221.5594
MEM 183.472656 1595425221.6598
MEM 227.734375 1595425221.7605
MEM 272.968750 1595425221.8612
MEM 319.683594 1595425221.9619
MEM 363.371094 1595425222.0627
MEM 413.117188 1595425222.1640
MEM 453.257812 1595425222.2646
MEM 503.070312 1595425222.3651
MEM 521.707031 1595425222.4657
MEM 521.531250 1595425222.5675
MEM 381.609375 1595425222.6691
