CMDLINE python3 Phase3-EdgeTestOnly.py
MEM 3.445312 1595424001.6725
MEM 15.113281 1595424001.7734
MEM 20.421875 1595424001.8740
MEM 32.921875 1595424001.9752
MEM 42.730469 1595424002.0757
MEM 52.785156 1595424002.1764
MEM 58.804688 1595424002.2793
MEM 59.757812 1595424002.3816
MEM 62.984375 1595424002.4821
MEM 72.582031 1595424002.5837
MEM 83.238281 1595424002.6849
MEM 89.382812 1595424002.7860
MEM 91.585938 1595424002.8866
MEM 96.703125 1595424002.9877
MEM 133.519531 1595424003.0888
MEM 179.460938 1595424003.1906
MEM 223.339844 1595424003.2910
MEM 272.824219 1595424003.3916
MEM 318.183594 1595424003.4922
MEM 362.906250 1595424003.5928
MEM 411.683594 1595424003.6934
MEM 456.847656 1595424003.7941
MEM 502.984375 1595424003.8946
MEM 521.507812 1595424003.9951
MEM 521.339844 1595424004.0962
MEM 0.000000 1595424004.1967
