CMDLINE python3 Phase2-EdgeRetrain.py
MEM 1.390625 1595426460.6605
MEM 14.523438 1595426460.7609
MEM 20.414062 1595426460.8614
MEM 30.679688 1595426460.9620
MEM 37.214844 1595426461.0628
MEM 46.312500 1595426461.1692
MEM 53.671875 1595426461.2696
MEM 58.753906 1595426461.3701
MEM 59.937500 1595426461.4705
MEM 64.355469 1595426461.5711
MEM 73.710938 1595426461.6717
MEM 83.300781 1595426461.7724
MEM 89.292969 1595426461.8729
MEM 91.882812 1595426461.9735
MEM 97.316406 1595426462.0739
MEM 129.863281 1595426462.1743
MEM 176.578125 1595426462.2750
MEM 219.683594 1595426462.3756
MEM 264.917969 1595426462.4761
MEM 310.601562 1595426462.5768
MEM 358.347656 1595426462.6773
MEM 405.000000 1595426462.7780
MEM 448.492188 1595426462.8785
MEM 495.210938 1595426462.9792
MEM 509.015625 1595426463.0797
MEM 509.015625 1595426463.1804
MEM 509.015625 1595426463.2810
MEM 509.015625 1595426463.3816
MEM 509.015625 1595426463.4822
MEM 509.015625 1595426463.5829
MEM 509.015625 1595426463.6835
MEM 509.015625 1595426463.7839
MEM 509.015625 1595426463.8847
MEM 509.015625 1595426463.9853
MEM 509.015625 1595426464.0857
MEM 509.015625 1595426464.1860
MEM 509.015625 1595426464.2866
MEM 509.015625 1595426464.3878
MEM 509.015625 1595426464.4881
MEM 509.015625 1595426464.5885
MEM 509.015625 1595426464.6891
MEM 509.015625 1595426464.7894
MEM 509.015625 1595426464.8903
MEM 509.015625 1595426464.9910
MEM 509.015625 1595426465.0920
MEM 509.015625 1595426465.1927
MEM 509.015625 1595426465.2933
MEM 509.015625 1595426465.3939
MEM 509.015625 1595426465.4945
MEM 509.015625 1595426465.5951
MEM 509.015625 1595426465.6957
MEM 509.015625 1595426465.7968
MEM 509.015625 1595426465.8974
MEM 509.015625 1595426465.9980
MEM 509.015625 1595426466.0986
MEM 509.015625 1595426466.1997
MEM 475.785156 1595426466.3003
MEM 0.000000 1595426466.4007
