CMDLINE python3 Phase2-EdgeRetrain.py
MEM 1.394531 1595427217.6219
MEM 14.992188 1595427217.7225
MEM 20.820312 1595427217.8231
MEM 31.851562 1595427217.9238
MEM 38.562500 1595427218.0243
MEM 50.332031 1595427218.1246
MEM 58.265625 1595427218.2251
MEM 59.250000 1595427218.3255
MEM 61.109375 1595427218.4263
MEM 70.285156 1595427218.5269
MEM 81.429688 1595427218.6275
MEM 88.035156 1595427218.7281
MEM 91.074219 1595427218.8285
MEM 94.339844 1595427218.9288
MEM 121.507812 1595427219.0292
MEM 166.933594 1595427219.1297
MEM 213.582031 1595427219.2301
MEM 259.332031 1595427219.3306
MEM 305.082031 1595427219.4310
MEM 349.027344 1595427219.5321
MEM 396.453125 1595427219.6327
MEM 440.460938 1595427219.7332
MEM 486.597656 1595427219.8340
MEM 508.585938 1595427219.9346
MEM 508.585938 1595427220.0352
MEM 508.585938 1595427220.1358
MEM 508.585938 1595427220.2362
MEM 508.585938 1595427220.3366
MEM 508.585938 1595427220.4371
MEM 508.585938 1595427220.5377
MEM 508.585938 1595427220.6384
MEM 508.585938 1595427220.7394
MEM 508.585938 1595427220.8401
MEM 508.585938 1595427220.9404
MEM 508.585938 1595427221.0408
MEM 508.585938 1595427221.1414
MEM 508.585938 1595427221.2420
MEM 508.585938 1595427221.3426
MEM 508.585938 1595427221.4437
MEM 508.585938 1595427221.5440
MEM 508.585938 1595427221.6445
MEM 508.585938 1595427221.7451
MEM 508.585938 1595427221.8457
MEM 508.585938 1595427221.9468
MEM 508.585938 1595427222.0474
MEM 508.585938 1595427222.1480
MEM 508.585938 1595427222.2485
MEM 508.585938 1595427222.3493
MEM 508.585938 1595427222.4498
MEM 508.585938 1595427222.5505
MEM 508.585938 1595427222.6511
MEM 508.585938 1595427222.7540
MEM 508.585938 1595427222.8547
MEM 508.585938 1595427222.9558
MEM 508.585938 1595427223.0565
MEM 510.304688 1595427223.1570
MEM 370.527344 1595427223.2575
